NUME_SOCIETATE,ADRESA_SITP,ADRESA_SEDIU,SITPID,NUMAR_AUTORIZATIE,COD_STATIE,PERSOANA_CONTACT,VALABILITATE_AUTORIZATIE,CLASA,INTERDICTII,OBSERVATII
SC SIG PER TEST SRL,"COM. VISTEA,SAT VISTEA DE JOS 95,jud.BRASOV","COM. VISTEA,SAT VISTEA DE JOS 95,jud.BRASOV",345,1000,BV026,766.352188,15-DEC-24-14-DEC-26,2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
"SC SERVICII ""TORPEDO"" SRL","SAT LUNGA,SAT LUNGA 445,jud.COVASNA","SAT LUNGA,- 445,jud.COVASNA",369,1161,CV018,,18-JUN-24-17-JUN-26,2,Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VERSAT SRL,"SANGEORGIU DE MURES,STR. BAILOR 1111,jud.MURES","SANGEORGIU DE MURES,Str. Corvin Matei 1/B,jud.MURES",399,773,MS020,,01-JUL-25-30-JUN-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
METALUL SOCIETATE COOPERATIVA MESTESUGAREASCA TARGU MURES,"TARGU MURES,STR. GHEORGHE DOJA 274,jud.MURES","TARGU MURES,STR. LIVEZENI 4,jud.MURES",408,1061,MS032,,10-AUG-25-09-AUG-27,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TURSIB SA,"SIBIU,Str. Munchen 1,jud.SIBIU","SIBIU,Str. Munchen 1,jud.SIBIU",423,432,SB007,269.4261,22-AUG-25-21-AUG-27,2;3,,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC AUTOMOBILE SIBIU SRL,"SELIMBAR,Sos. Sibiului 25,jud.SIBIU","SELIMBAR,Sos. Sibiului 25,jud.SIBIU",434,1214,SB020,369.10172,25-AUG-24-24-AUG-26,2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC COZIA FOREST SA,"BABENI,STR. DRAGOS VRANCEANU 19,jud.VALCEA","RAMNICU VALCEA,STR. Krusevac 36,jud.VALCEA",445,535,VL016,250.741425,13-AUG-24-12-AUG-26,2;3,"Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta",Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC VICO STAR SRL,"RAMNICU VALCEA,STR. BARAJULUI 38,jud.VALCEA","RAMNICU VALCEA,STR. BARAJULUI 38,jud.VALCEA",452,1301,VL026,745.549108,28-FEB-25-27-FEB-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO RIV SRL,"TARGOVISTE,STR. LAMINORULUI 8,jud.DAMBOVITA","TARGOVISTE,STR. LAMINORULUI 8,jud.DAMBOVITA",195,1146,DB015,,01-MAR-24-28-FEB-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC LICURICI IMPEX SRL,"FILIASI,BD. RACOTEANU 269,jud.DOLJ","FILIASI,BD. RACOTEANU 269,jud.DOLJ",219,619,DJ020,,26-APR-24-25-APR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TEOTEST AUTO SRL,"CARACAL,STR. IANCU JIANU 3A,jud.OLT","CARACAL,STR. IANCU JIANU 3A,jud.OLT",252,1090,OT013,,19-MAR-25-22-OCT-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TEOTEST AUTO SRL,"CARACAL,STR. IANCU JIANU 3A,jud.OLT","CARACAL,STR. IANCU JIANU 3A,jud.OLT",252,1090,OT013,,23-OCT-23-22-OCT-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule cu norma de poluare EURO 6 sau EURO VI;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ARIESUL SA,"CAMPENI,STR. VALEA BISTREI 1,jud.ALBA","CAMPENI,STR. VALEA BISTREI 1,jud.ALBA",313,336,AB007,,13-JUL-25-12-JUL-27,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor tractate prin probe functonale in parcurs
SC COMTRANS SA,"FAGARAS,STR. CRINULUI 5,jud.BRASOV","FAGARAS,STR. CRINULUI 5,jud.BRASOV",332,169,BV006,268.21106,23-FEB-25-22-FEB-27,1;2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,"Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC AUTOTRANSPORT CALIMANUL SA,"TOPLITA,STR. AVRAM IANCU 47,jud.HARGHITA","TOPLITA,STR. AVRAM IANCU 47,jud.HARGHITA",376,193,HR004,266.341396,29-JUN-25-28-JUN-27,2,Autovehicule echipate cu instalate GPL sau GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MIDA SRL,"MIERCUREA CIUC,STR. BRASOVULUI 67,jud.HARGHITA","MIERCUREA CIUC,STR. BRASOVULUI 67,jud.HARGHITA",381,728,HR014,266.205401,30-NOV-23-29-NOV-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC NURVIL SRL,"RAMNICU VALCEA,STR. STRANDULUI 52A,jud.VALCEA","RAMNICU VALCEA,STR. RAURENI 38,jud.VALCEA",453,1333,VL027,,05-MAY-25-04-MAY-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC COMPANIA DE TRANSPORT PUBLIC SA,"ARAD,CALEA VICTORIEI 35B-37,jud.ARAD","ARAD,CALEA VICTORIEI 35B-37,jud.ARAD",455,194,AR002,257.256781,04-JUL-25-03-JUL-27,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC NICA N.R. SRL,"SEBIS,DJ 793, KM 60+440 -,jud.ARAD","SEBIS,STR. OITUZ 2,jud.ARAD",456,211,AR003,257.320473,30-MAR-25-29-MAR-27,2;3,Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VOLANUL SA,"ARAD,STR. SIRIEI 19/A,jud.ARAD","ARAD,STR. SIRIEI 19/A,jud.ARAD",460,513,AR009,257.206111,24-MAR-24-23-MAR-26,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC BODNARESCU COMPANY SRL,"NADLAC,STR. SLAVICI IOAN, CORP ABCD 1,jud.ARAD","NADLAC,STR. SLAVICI IOAN, CORP ABCD 1,jud.ARAD",461,586,AR010,257.47374,11-MAY-25-10-MAY-27,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Tractoare;Vehicule tractate,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC MINIS SA,"BOZOVICI,STR. MIHAI EMINESCU 1,jud.CARAS-SEVERIN","BOZOVICI,STR. MIHAI EMINESCU 1,jud.CARAS-SEVERIN",474,316,CS004,0255.242.594,07-JUN-25-06-JUN-27,2;3,Autovehicule echipate cu instalate GPL sau GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SERVICE AUTOMOBILE CARANSEBES SA,"CARANSEBES,CALEA SEVERINULUI 150,jud.CARAS-SEVERIN","CARANSEBES,CALEA SEVERINULUI 150,jud.CARAS-SEVERIN",475,386,CS005,255.512647,13-OCT-23-12-OCT-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTODANUBIUS SA,"MOLDOVA NOUA,Cimpului 1,jud.CARAS-SEVERIN","MOLDOVA NOUA,Cimpului 1,jud.CARAS-SEVERIN",476,895,CS007,255.540724,06-FEB-24-25-NOV-25,2;3,Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC AUTODANUBIUS SA,"MOLDOVA NOUA,Cimpului 1,jud.CARAS-SEVERIN","MOLDOVA NOUA,Cimpului 1,jud.CARAS-SEVERIN",476,895,CS007,255.540724,26-NOV-23-25-NOV-25,2;3,Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ARGO IMPEX SRL,"Targu Jiu,Str. Calea BUCURESTI 9 bis,jud.GORJ","Targu Jiu,STR. Calea BUCURESTI 9 bis,jud.GORJ",498,1023,GJ018,763264439,15-APR-25-14-APR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO DORF SRL,"HUNEDOARA,SAT PESTISU MARE 205A,jud.HUNEDOARA","Veţel,Str. Ion Minulescu 263,jud.HUNEDOARA",513,1069,HD018,354.809885,09-SEP-25-08-SEP-27,2,Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ALEX AUTOCON SRL,"BUCURESTI,STR. HELIADE INTRE VII 8,jud.BUCURESTI","BUCURESTI,STR. COMPLEXULUI, BL. 40, SC. 2, AP. 38 10,jud.BUCURESTI",130,1227,B0165,,17-SEP-24-16-SEP-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Autovehicule echipate cu tractune integrala permanenta;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ALEX AUTOCON SRL,"BUCURESTI,STR. HELIADE INTRE VII 8,jud.BUCURESTI","BUCURESTI,STR. COMPLEXULUI, BL. 40, SC. 2, AP. 38 10,jud.BUCURESTI",130,1227,B0165,,10-OCT-24-16-SEP-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
PITMIOVCOM PITESTI SOCIETATE COOPERATIVA,"MIOVENI,BD. DACIA 47,jud.ARGES","PITESTI,B-DUL REPUBLICII, BL. D 5A, TRONSON D, MEZANIN NR. 117A,jud.ARGES",169,1369,AG027,,24-AUG-25-23-AUG-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DELTA PLUS TRADING SRL,"PITESTI,A. PITESTI-BUCURESTI, DN 65B KM 3+750,jud.ARGES","PITESTI,A. PITESTI-BUCURESTI, DN65B KM 3+750,jud.ARGES",170,750,AG029,,03-SEP-24-02-SEP-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTEC AUTOTECHNIK SRL,"SAT GEAMANA, COM. BRADU,DN 65B 22,jud.ARGES","SAT GEAMANA, COM. BRADU,DN 65B 22,jud.ARGES",171,766,AG030,,23-OCT-24-22-OCT-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTOFRESH ROSI SRL,"CRAIOVA,STR. SEVERINULUI 34,jud.DOLJ","COM. PODARI,SAT LIVEZI -,jud.DOLJ",227,1078,DJ028,,18-SEP-25-31-DEC-25,2,Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DYNAMIC OIL BUCURESTI SRL,"CARACAL,STR. CRAIOVEI 260,jud.OLT","CARACAL,STR. CRAIOVEI 260,jud.OLT",247,371,OT006,249.515261,16-JUN-25-15-JUN-27,1;2;3,Autovehicule echipate cu instalate GNC,
SC SEDA-SERVICE SRL,"CARACAL,STR. BUZESTI 8,jud.OLT","CARACAL,STR. BUZESTI 8,jud.OLT",249,725,OT009,0249/513869,20-JUN-24-19-JUN-26,2,Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TRANSPORT CALATORI EXPRESS SA,"PLOIESTI,STR. GAGENI 88,jud.PRAHOVA","PLOIESTI,STR. GAGENI 88,jud.PRAHOVA",268,350,PH015,244.543751,11-JUL-25-10-JUL-27,2;3,"Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MEDAS SRL,"ALEXANDRIA,STR. MIRCEA CEL BATRAN 4,jud.TELEORMAN","ALEXANDRIA,STR. MIRCEA CEL BATRAN 4,jud.TELEORMAN",294,791,TR002,,15-NOV-24-14-NOV-26,2;3,"Autovehicule cu norma de poluare EURO 6 sau EURO VI;Autovehicule din categ. N2 (cu excepta celor cu MTMA sub 7,5 To la care nu este posibila montarea corespunzatoare a unei oglinzi de cls. V) si N3 fabricate dupa 01.01.2000 la care nu se prezinta Certificatul de Conformitate care atesta indeplinirea prevederilor Dir. 2003-97-CE ref. la campul de vizibilitate sau nu exista marca de omologare pe suportul oglinzilor (conf. RNTR-1, Anexa 3);Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule din categoriile N2, N3 si T;Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta;Autovehicule echipate cu tractune integrala permanenta si cu rot jumelate;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC RECON SA,"BRASOV,STR. AGRICULTORILOR 27,jud.BRASOV","BRASOV,STR. ALEXANDRU IOAN CUZA 31,jud.BRASOV",338,482,BV018,268.416214,25-JAN-24-24-JAN-26,2,Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TRAMAR SA,"SFANTU GHEORGHE,STR. LT. PAIS DAVID 7,jud.COVASNA","SFANTU GHEORGHE, CORP B, BIROU 2, ET. 1,STR. LT.PAIS DAVID 7,jud.COVASNA",364,869,CV012,267.314513,10-JAN-24-09-JAN-26,1;2;3,Autovehicule echipate cu instalate GNC;Mopede cu 2 rot; motociclete fara atas,
SOCIETATE COOPERATIVA MESTESUGAREASCA VIITORUL CARASAN,"RESITA,CALEA TIMISORII 17,jud.CARAS-SEVERIN","RESITA,BD. REVOLUTIA DIN DECEMBRIE, SC. 2, ET. 3 1A,jud.CARAS-SEVERIN",473,275,CS002,255.2106,06-MAR-25-05-MAR-27,2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ORFESCU SRL,"TARGU JIU,CALEA BUCURESTI 9,jud.GORJ","TARGU JIU,CALEA BUCURESTI 9,jud.GORJ",493,478,GJ012,253.216342,09-DEC-23-08-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUROCAR SERV SRL,"ORASTIE,STR. UNIRII 30,jud.HUNEDOARA","ORASTIE,STR. UNIRII 30,jud.HUNEDOARA",504,142,HD004,254.247468,19-DEC-24-18-DEC-26,2,Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
HOREA SOCIETATE COOPERATIVA,"BRAD,STR. AVRAM IANCU 30,jud.HUNEDOARA","BRAD,STR. AVRAM IANCU 30,jud.HUNEDOARA",514,1109,HD019,254.612582,16-DEC-23-15-DEC-25,2,"Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MONDIAL SRL,"DROBETA TR. SEVERIN,STR. CICERO 58,jud.MEHEDINTI","DROBETA TURNU SEVERIN,STR. N. POMPILIU 9,jud.MEHEDINTI",525,1117,MH012,252.311301,18-DEC-23-17-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC COMPLEX AUTO-BOR SRL,"DROBETA TR. SEVERIN,BD. NICOLAE IORGA 18,jud.MEHEDINTI","DROBETA TURNU SEVERIN,BD. NICOLAE IORGA 18,jud.MEHEDINTI",528,1279,MH015,,12-JAN-25-11-JAN-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DUNCA EXPEDITII SA,"COMUNA DUMBRAVITA,Sat Dumbraviţa,DJ 691 KM7+142,jud.TIMIS","COM. DUMBRAVITA,Sat Dumbraviţa, DJ 691 Km 7+142,jud.TIMIS",555,992,TM030,,08-AUG-25-07-AUG-27,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO LALI SRL,"COMLOSU MIC,COMLOSU MIC 288,jud.TIMIS","COM. COMLOSU MARE,SAT COMLOSU MIC 288,jud.TIMIS",560,1289,TM042,766.489368,07-FEB-25-06-FEB-27,1;2,,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC SITMASIT SRL,"ORADEA,Calea Clujului 197,jud.BIHOR","ORADEA,STR. SFANTUL APOSTOL ANDREI, Bloc P17, Ap. 20 46,jud.BIHOR",564,794,BH003,259.472488,14-NOV-24-13-NOV-26,2;3,Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC ORADEA TRANSPORT LOCAL SA,"ORADEA,STR. ATELIERELOR 12,jud.BIHOR","ORADEA,STR. ATELIERELOR 12,jud.BIHOR",567,144,BH006,,23-DEC-24-22-DEC-26,2;3,Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC TRANS ALESD SA,"ALESD,STR. TUDOR VLADIMIRESCU 41,jud.BIHOR","ALESD,STR. TUDOR VLADIMIRESCU 41,jud.BIHOR",574,727,BH018,,23-JAN-24-22-JAN-26,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC ELPATAND PROD SERV SRL,"TITU,ALEEA TERRA 2,jud.DAMBOVITA","TITU,STR. NICOLAE GRIGORESCU -,jud.DAMBOVITA",192,849,DB011,,23-MAY-25-22-MAY-27,1;2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC MAVEXIM SRL,"SAT VALEA VOIEVOZILOR, COM. RAZVAD,ALEEA MANASTIREA DEALU 197,jud.DAMBOVITA","PITESTI,BD. PETROCHIMISTILOR, BL.B32, ET. P 5,jud.DAMBOVITA",197,1190,DB017,,16-JUN-24-15-JUN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC LANCOSA SRL,"TARGOVISTE,SOS. GAESTI 11K,jud.DAMBOVITA","TARGOVISTE,BD. TUDOR VLADIMIRESCU 82,jud.DAMBOVITA",198,1207,DB018,,28-JUL-24-27-JUL-26,1;2;3,Autovehicule echipate cu instalate GNC,
SC SUTRANS SA BAILESTI,"BAILESTI,STR. INDEPENDENTEI 7,jud.DOLJ","BAILESTI,STR. INDEPENDENTEI 7,jud.DOLJ",218,560,DJ019,,13-AUG-24-12-AUG-26,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC AUTO-MIXT SRL,"CORABIA,STR. ELENA DOAMNA 2,jud.OLT","CORABIA,STR. ELENA DOAMNA 2,jud.OLT",246,661,OT005,,21-JUN-25-20-JUN-27,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ALLMAS DACIA SERVICE SRL,"VALENII DE MUNTE,STR. STEFAN CEL MARE 69A,jud.PRAHOVA","VALENII DE MUNTE,STR. STEFAN CEL MARE 69A,jud.PRAHOVA",279,1031,PH037,,22-APR-25-21-APR-27,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC INTERTRANS SRL,"ALBA IULIA,BD. REPUBLICII 109,jud.ALBA","ALBA IULIA,BD. REPUBLICII 109,jud.ALBA",318,547,AB013,258.814479,10-AUG-24-09-AUG-26,2;3,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile N2, N3 si T;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SERVNIC SRL,"ALBA IULIA,STR. VASILE ALECSANDRI 36A,jud.ALBA","ALBA IULIA,STR. VASILE ALECSANDRI 36A,jud.ALBA",321,914,AB016,258.816168,29-JAN-24-28-JAN-26,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC GRICON SRL,"TARGU LAPUS,STR. AGRICULTORULUI 3,jud.MARAMURES","TARGU LAPUS,STR. AGRICULTORULUI 3,jud.MARAMURES",679,1228,MM019,262.385794,24-SEP-24-23-SEP-26,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ALBATROS SRL,"CRISTIAN,STR. XIII 67,jud.SIBIU","CRISTIAN,STR. XIII 67,jud.SIBIU",684,1370,SB026,269.5796,29-JUL-25-28-JUL-27,2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
