NUME_SOCIETATE,ADRESA_SITP,ADRESA_SEDIU,SITPID,NUMAR_AUTORIZATIE,COD_STATIE,PERSOANA_CONTACT,VALABILITATE_AUTORIZATIE,CLASA,INTERDICTII,OBSERVATII
SC ROYAL MOTORS SRL,"BRADU,DN 65B, KM 5+315 -,jud.ARGES","BRADU,DN 65B, KM 5+315 -,jud.ARGES",182,1261,AG045,,29-MAY-25-28-MAY-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
INTRETINEREA SOCIETATE COOPERATIVA MESTESUGAREASCA,"PITESTI,STR. MICA 7,jud.ARGES","PITESTI,B-DUL REPUBLICII, BL. D6A, ET MEZANIN 85,jud.ARGES",183,1266,AG046,,06-DEC-24-05-NOV-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MIDOCAR SRL,"BUCURESTI,SOS. ODAI 219-225,jud.BUCURESTI","BUCURESTI,SOS. ODAI 219-225,jud.BUCURESTI",11,808,B0001,21.300795,16-JAN-24-15-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ALLEGRO MAXI TAXI SA,"BUCURESTI,STR. CHITILA TRIAJ 4,jud.BUCURESTI","BUCURESTI,STR. CHITILA TRIAJ 4,jud.BUCURESTI",65,563,B0084,762.504119,17-SEP-24-16-SEP-26,2;3,"Autobuze articulate;Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categ. N2 (cu excepta celor cu MTMA sub 7,5 To la care nu este posibila montarea corespunzatoare a unei oglinzi de cls. V) si N3 fabricate dupa 01.01.2000 la care nu se prezinta Certificatul de Conformitate care atesta indeplinirea prevederilor Dir. 2003-97-CE ref. la campul de vizibilitate sau nu exista marca de omologare pe suportul oglinzilor (conf. RNTR-1, Anexa 3);Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DV SIMPEX SRL,"BUCURESTI,STR. ALUNISULUI 181,jud.BUCURESTI","BUCURESTI,STR. ALUNISULUI 181,jud.BUCURESTI",68,581,B0088,21.3321993,18-NOV-24-17-NOV-26,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TRANS AT SPEDITION SRL,"MAGURELE,STR. ATOMISTILOR 64,jud.ILFOV","BUCURESTI,STR. TOBOSARI 50,jud.ILFOV",87,889,B0116,21.4211938,27-MAY-24-26-MAY-26,2;3,"Autobuze articulate;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC",Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC COMEX 97 SA,"BUCURESTI,SOS. GARII CATELU 174,jud.BUCURESTI","BUCURESTI,SOS. GARII CATELU 174,jud.BUCURESTI",88,932,B0120,,28-MAR-24-27-MAR-26,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC MONDO AUTO SOTIRESCU ALEX SRL,"BRAGADIRU,Sos. Alexandriei 304,jud.ILFOV","BUCURESTI,INTR. CAROL KNAPPE 8,jud.ILFOV",89,936,B0121,722859907,24-NOV-23-23-NOV-25,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC SIMPO TRANS SERVICE SRL,"AFUMATI,SOS. BUCURESTI-URZICENI 21,jud.ILFOV","AFUMATI,SOS. BUCURESTI-URZICENI 21,jud.ILFOV",93,1027,B0132,21.3503012,13-APR-25-12-APR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ADI STAR IMPEX SRL,"DOBROESTI,SOS. FUNDENI 83,jud.ILFOV","DOBROESTI,SOS. FUNDENI 83,jud.ILFOV",98,827,B0058,21.2407696,09-MAR-25-08-MAR-27,1;2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC AUTO SERVICE COLENTINA SRL,"BUCURESTI,STR. HORTENSIEI 49,jud.BUCURESTI","BUCURESTI,STR. HORTENSIEI 49,jud.BUCURESTI",106,1040,B0134,,07-JUL-24-06-JUL-26,2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SOCIETATEA COOPERATIVA MESTESUGAREASCA AUTOMECANICA SCM,"BUCURESTI,STR. ANCUTA ILIE 1,jud.BUCURESTI","BUCURESTI,STR. FAINARI, PARTER, BL. 50 26,jud.BUCURESTI",117,1156,B0151,21.2528,05-APR-24-04-APR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TARA SA,"PITESTI,STR. DARZUL 4,jud.ARGES","PITESTI,STR. DARZUL 4,jud.ARGES",156,222,AG010,,11-MAR-25-10-MAR-27,1;2;3,Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal,
SC PUBLITRANS 2000 SA,"PITESTI,STR. DEPOZITELOR 2L,jud.ARGES","PITESTI,STR. DEPOZITELOR 2L,jud.ARGES",157,623,AG005,,21-JAN-25-20-JAN-27,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SIGMA SA,"CAMPULUNG,B-DUL. ION MIHALACHE 46,jud.ARGES","CAMPULUNG,B-DUL. ION MIHALACHE 46,jud.ARGES",159,278,AG013,,10-APR-25-09-APR-27,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SOCIETATEA DE TRANSPORT BUCURESTI STB S.A.,"BUCURESTI,STR. IACOB ANDREI 30,jud.BUCURESTI","BUCURESTI,B-dul. Dinicu Golescu 1,jud.BUCURESTI",33,12,B0044,,06-FEB-25-05-FEB-27,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC BRADY TRADE SRL,"BUCURESTI,BD. IULIU MANIU 291-301,jud.BUCURESTI","BUCURESTI,BD. IULIU MANIU 291-301,jud.BUCURESTI",36,612,B0027,,23-JUL-24-22-JUL-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC EURIAL INVEST SRL,"OTOPENI,CALEA BUCURESTILOR 24,jud.ILFOV","SAT GEAMANA, COM. BRADU,STR. ZONA COMERCIALA 5,jud.ILFOV",37,536,B0028,,02-MAY-25-01-MAY-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
